variable	cluster	n_vertices	mean_thickness	mean_coefficient	mean_se	top_region1	top_region2	top_region3
sex	8	1275	2.42914395179729	-0.070259080929499	0.0134265646462639	lingual (52.86%, 16.03%)	isthmuscingulate (23.45%, 11.81%)	precuneus (17.73%, 3.09%)
sex	9	1342	2.47628845950711	-0.0450889216097497	0.00889535742879869	posteriorcingulate (74.22%, 30.50%)	paracentral (15.20%, 6.19%)	precuneus (10.58%, 1.94%)
sex	10	737	2.46505371436165	0.0479813726666905	0.0125230063180082	inferiortemporal (73.41%, 12.25%)	middletemporal (24.29%, 4.02%)	lateraloccipital (2.31%, 0.27%)
sex	11	789	2.35145460141844	-0.0473007732537234	0.00970525628826917	lateralorbitofrontal (99.87%, 18.82%)	parsorbitalis (0.13%, 0.10%)	NA
sex	12	1039	2.4944978185807	-0.0396342312771902	0.00886748684256466	superiortemporal (58.81%, 8.40%)	supramarginal (41.19%, 4.98%)	NA
sex	13	780	2.39335601244356	-0.0395224370444432	0.00876544406100248	superiorfrontal (50.64%, 3.24%)	rostralmiddlefrontal (43.59%, 4.69%)	caudalmiddlefrontal (5.77%, 1.20%)
sex	14	663	2.47581796706632	0.0537706102900555	0.0117005612925931	superiortemporal (79.03%, 7.21%)	transversetemporal (20.97%, 13.06%)	NA
sex	15	568	2.52757818857319	-0.0420177194985076	0.00957718461712586	precuneus (72.01%, 5.60%)	isthmuscingulate (27.99%, 6.28%)	NA
sex	16	309	2.45787503381727	0.0454235457631377	0.0108320472195359	superiorfrontal (100%, 2.54%)	NA	NA
sex	17	305	2.49183190532348	-0.0612767266323332	0.0142230438801353	inferiortemporal (100%, 6.91%)	NA	NA
