variable	cluster	n_vertices	mean_thickness	mean_coefficient	mean_se	top_region1	top_region2	top_region3
sex	20	290	2.42205268163985	-0.036994491800152	0.00898355931557458	rostralmiddlefrontal (100%, 3.69%)	NA	NA
sex	21	450	2.48730389644909	-0.0390271867190798	0.00907765349787143	supramarginal (99.56%, 5.50%)	superiortemporal (0.44%, 0.03%)	NA
bmi	1	304	2.54274485132849	0.00513993841703172	0.00131972230232541	lingual (69.74%, 5.44%)	pericalcarine (30.26%, 5.05%)	NA
ethnicity_group	1	6975	2.46211746526183	-0.0684462238762755	0.0150731750587035	lateraloccipital (30.48%, 35.65%)	lingual (23.33%, 41.78%)	cuneus (12.22%, 52.01%)
ethnicity_group	2	1999	2.41678087656667	-0.0537405410122728	0.0136308722806467	supramarginal (63.48%, 15.57%)	postcentral (36.47%, 7.98%)	precentral (0.05%, 0.01%)
ethnicity_group	3	1724	2.49821704957106	-0.0512725423714643	0.012773902882582	superiortemporal (67.98%, 17.06%)	transversetemporal (32.02%, 70.68%)	NA
ethnicity_group	4	819	2.58058627356178	-0.0482455394770927	0.0125861142333301	lateraloccipital (49.08%, 6.74%)	inferiortemporal (37.36%, 7.29%)	inferiorparietal (13.55%, 1.15%)
ethnicity_group	5	618	2.51354476202892	-0.0463768868830694	0.0118224955236232	superiortemporal (63.27%, 5.69%)	supramarginal (36.73%, 2.79%)	NA
ethnicity_group	6	366	2.37981756899312	-0.0374730625418855	0.0107524582144138	middletemporal (90.98%, 6.58%)	superiortemporal (9.02%, 0.48%)	NA
ethnicity_group	7	414	2.43995587289645	-0.0492663801634225	0.013217537821347	bankssts (91.06%, 17.17%)	supramarginal (4.83%, 0.25%)	inferiorparietal (4.11%, 0.18%)
ethnicity_group	8	337	2.40353350896993	-0.0434544093309949	0.0125588655820011	postcentral (94.07%, 3.47%)	precentral (5.93%, 0.19%)	NA
education_at_intake_groups	1	427	2.46717632649208	0.0345501539840492	0.00833516429337636	medialorbitofrontal (100%, 15.24%)	NA	NA
